id,trigger,conditions,script,text,options,notes
#RULESET_NAME BSG:R,,,,,,
,,,,,,
# COLONIAL HUNT,,,,,,
bsg_col_huntBlurb,bsg_col_hunt_blurb,,,"""We've had a little problem with a Cylon fleet that's gone rogue in a system near us that needs to be eliminated ASAP. We really need that system as our sensors have picked up a large deposit of Tylium there and considering how rare that resource in this sector is we could really use your help Captain!""",,
bsg_col_huntOption,bsg_col_hunt_option,,,,bsg_col_hunt_start:Ask about making arrangements with the colonial admiral,
bsg_col_huntBlurbBar,bsg_col_hunt_blurbBar,,,"A Colonial Admiral sits alone at a table, quietly drinking Ambrosia and looking displeased about whatever's on their Tri-Pad.",,
bsg_col_huntOptionBar,bsg_col_hunt_optionBar,,,,bsg_col_hunt_startBar:See what the ambrosia-drinking Admiral is annoyed about,
bsg_col_huntOfferTextContact,DialogOptionSelected,$option == bsg_col_hunt_start,$missionId = bsg_col_hunt,"""The target in question is a gone rogue Cylon Commander. Pretty sure it's a Nr. 2 or as we call him ""Leoben Conoy"". I'm sure you're well aware of the trouble these toasters have caused,"" $heOrShe explains. ""I have orders to ensure this Nr. 2 is 'dealt with', and I'd rather not inconvenience myself by risking my own fleet. You know how it is, ships are rare these days...""

""Their last known location was the $bsg_col_hunt_SystemName, $bsg_col_hunt_dist light-years away from here. You should start your search there. I haven't been provided intel on the target's composition but it's safe to assume that their force is no joke. Accordingly, I've arranged a payment of $bsg_col_hunt_reward credits.""","contact_accept:Accept
contact_decline:Decline",
bsg_col_huntOfferTextBar,DialogOptionSelected,$option == bsg_col_hunt_startBar,$missionId = bsg_col_hunt,"As you take a seat by the Colonial Admiral, $heOrShe briefly scans you over like a biometrics system, before returning $hisOrHer eyes to the Tri-Pad. ""Judging by what you just did, I'd imagine you're a captain with an eye for potential work. You'd do an excellent job in the Colonial Navy.""

$HeOrShe takes a sip. ""Obviously that's not what your here for, and not what I need. You are a predator."" $heOrShe declares. ""I have prey.""",bsg_col_hunt_startBar2:Continue,
bsg_col_huntOfferTextBar2,DialogOptionSelected,$option == bsg_col_hunt_startBar2,SetTextHighlights  $bsg_col_hunt_systemName $bsg_col_hunt_dist $bsg_col_hunt_reward ,"""The toaster in question is $bsg_col_hunt_execName, a gone rogue humanoid Cylon. A Nr. 2 or as we like to call them a ""Leoben"". I'm sure you're well aware of the trouble they caused,"" $heOrShe explains, waving $hisOrHer hand. ""I have orders to ensure this toaster is 'dealt with', and I'd rather not inconvenience myself by risking my own fleet. You know how it is."" $HeOrShe gives you a look that implies you're expected to agree.

""$bsg_col_hunt_execName's last known location was the $bsg_col_hunt_systemName, $bsg_col_hunt_dist light-years away from here. You should start your search there. I haven't been provided intel on the target's composition, so you're going in blind but assume that they're well armed. Accordingly, I've arranged a payment of $bsg_col_hunt_reward credits.""

$HeOrShe places the Tri-Pad face-down on the table, and gives you $hisOrHer full attention for the first time. ""What about it, then? If you can get this done, it'd make an excellent first impression.""","contact_acceptBar:Accept
contact_declineBarNoContinue:Decline",
