id,type,text1,text2,text3,notes
CFW,WEAPON,The Cylon's standard fighter warhead. Used in dogfights and bombing runs.,Fighter Missile,,
CFMG,WEAPON,The Cylon's standard fighter machine gun.,Fighter MG,,
FSCW,WEAPON,The standard fighter missile launcher of the Colonies,Fighter Missile,,
FSMG,WEAPON,The standard fighter machine gun of the Colonies,Fighter MG,,
PCSCML,WEAPON,"Heavy Cylon warheads, often the last thing their enemies see or hears.",Assault,,
PCSCMM,WEAPON,"Standard Cylon missile launcher, finds it's use on midline ships as well as their biggest war machines.",Assault,,
PCSCMS,WEAPON,"The smallest of the Cylon missile launchers, often used as a point defense or fighter screening missile. Low range, low damage but perfectly fine as a defensive measurement.",Point Defense,,
PCSDRGL,WEAPON,"The Cylons biggest machine gun. Some thought the Cylons had decomissioned all non missile weaponry but shortly after arriving in the sector they saw the need for some more variety in their armaments and thus decided to dig out some of the ""first war"" weaponry.",Strike,,
PCSDRGM,WEAPON,This handy machine gun is a perfect fit between too small for a cruiser and too big for the smaller ships.,Strike,,
PCSDRGS,WEAPON,"The smallest of the bunch, meant to act as an addition to the Cylon's PD weaponry this turret's focus is fighter screening and missile destruction. Almost useless against bigger ships in both range and damage.",Point Defense,,
SCSCML,WEAPON,"The Colonie's biggest non nuclear missile launcher. Toasters fear them, humans love them.",Assault,,
SCSCMM,WEAPON,The go-to missile launcher of the colonies.,Assault,,
SCSCMS,WEAPON,"The smallest missile launcher that is not classified as fighter weaponry, still useful in combat while being not as expensive as it's bigger counterparts.",Assault,,
SCSDPD,WEAPON,"The famous flak battery of the Colonies. Toasters hate them, Battlestar armor loves them. Perfect defense against missiles and fighters. When used in bigger numbers there's no way a missile will hit your ship.",Point Defense,,
SCSDRGL,WEAPON,The biggest Battlestar artillery there is. High damage and leaves nothing but dust behind,Strike,,
SCSDRGM,WEAPON,"A middleground between ""big artillery"" and ""small turret"" still packs a punch while being not as big as it's bigger brother.",Strike,,
SCSDRGS,WEAPON,The perfect weapon for a smaller sized colonial ship,Strike,,
CPC,WEAPON,"An ancient superweapon that saw first combat during the times of the thousand yahren war as the main weapon system of the Hadse Basestars of the Cylon Empire. Destructive, massive and a long cooldown and charge up time makes this weapon hard to use for the careless operator. No one really knows how or why the Cylons have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I didn't want to create a new faction just to include some TOS goodies okay?",Superweapon,,
CLTL,WEAPON,The biggest cylon laser battery somehow found it's way into current times as it's creation date was long before the first cylon war. No one really knows how or why the Cylons have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?,Strike,,
CLTM,WEAPON,The medium sized laser battery of the Cylon Empire from the thousand yahren war.  No one really knows how or why the Cylons have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?,Strike,,
CLTS,WEAPON,The smallest Cylon laser pew pew is supposed to attack fighters and blast those vipers out of the sky. Not really effective against bigger ships.  No one really knows how or why the Cylons have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?,Point Defense,,
ColPC,WEAPON,"The Colonial Pulsar Cannon is THE superweapon of the Colonies, made to penetrate the armour of even Lord Erebus's flagship. The Colonial laser battery that packs a punch. Nothing rivals this kind of fire power except for super weapons.  No one really knows how or why the Colonies have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?",Superweapon,,
CoLTL,WEAPON,The Colonial laser battery that packs a punch. Nothing rivals this kind of fire power except for super weapons.  No one really knows how or why the Colonies have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?,Strike,,
CoLTM,WEAPON,The work horse of the laser weaponry category. Does well in most combat situations and doesn't make your accountant vomit.  No one really knows how or why the Colonies have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?,Strike,,
CoLTS,WEAPON,The smallest colonial laser battery mainly focuses on intercepting Heavy Tylium Warheads or Raiders. The Colonial laser battery that packs a punch. Nothing rivals this kind of fire power except for super weapons.  No one really knows how or why the Colonies have technology this advanced but it's there and I'm not gonna think about some kind of weird crossover story but if you insist just tell yourself something like the lords of Kobol have brought something from a different cylce to the current one bla bla bla. It's nice laser pew pew and I really didn't want to create a new faction just to include some TOS goodies okay?,Point Defense,,
HTW,WEAPON,A big and slow warhead filled with unrefined Tylium and a small nuclear warhead. A highly explosive and deadly combination.,Heavy Warhead,,
COLA,WEAPON,"A mid size autocannon, good rate of fire, good damage against both capital ships and fighters.",,,
CYLA,WEAPON,"A mid size autocannon, good rate of fire, good damage against both capital ships and fighters.",,,
bsg_gbasestar,SHIP,The Guardian basestar was constructed by the Cylons at the end of the first Cylon War and is a part of the evolution towards modern basestar design. The first Hybrid to be developed was integrated into the systems of this ship. Some models thought this design to be too outdated but it appears to be filling a hole in modern Cylon doctrine as it's a cheaper Basestar.,,,
bsg_cygnus,SHIP,"The Cygnus Gunstar was designed after the first war with the goal to streamline the Colonial cruiser doctrine and unify all aspects needed in smaller Colonial crafts with many lessons learned from the first war. This small, versatile and fast ship packs quiet a punch. Being able to do short ftl jumps it's the perfect ""in and out adventure"" craft. Excelling in short engagements utilizing both forward and backwards firing guns in combination with a deadly missile array. A small fighter complement and some PD guns are making this small ship a deadly enemy.",,,
bsg_mercury,SHIP,"The Mercury-class Battlestar, peak ship design developed after the first war, taking the Minerva-Class as a base and improving it in every aspect this Battlestar focuses on a huge forward firing array of heavy artillery combined with thick armor and an excellent fighter complement you better ready your FTLs when encountering one of these warships.",,,
bsg_hbasestar,SHIP,"The Hades Basestar or Basestar MKI is one ancient design developed by mankind before the first war. Now in Cylon hand those defensive weapons platforms acted as the main Cylon capital ship during the first war. While relativley immobile their large amount of Raiders are chasing every enemy in sight, entering the combat zone of this massive ship is not advised as many cylon machine guns are prepared to take on everything that comes close to the ship.",,,
bsg_basestar2,SHIP,"The Basestar MKII, some call it the Nemesis-class, is the culmination of post first war Cylon war doctrine. Focusing on a large array of Raiders and long range missiles with no other munitions or turrets on board. While this capital ship is not meant for close quarters combat, it excells at long range striking with it's missiles and Raiders.",,,
bsg_galactica,SHIP,"The Jupiter class Battlestars were laid down in the early days of the First Cylon War. There were originally twelve built, one representing each of the Twelve Colonies of Kobol. They were heavily engaged in the war, and only three of the original twelve survived to see the armistice signed, ending the war. After the war, the surviving Battlestars remained in service, supplemented by additional ships under construction during the war. The class was continually upgraded and modified over the years, and several were still in service until the Fall of the Twelve Colonies. ",,,
bsg_hraider,SHIP,"The Heavy Raider is the Cylon version of a Combat Raptor, heavily armed with 4 machine guns and missiles while also being a capable troop transport with thick armor.",,,
